name,symbol,decimals,total_supply,total_supply_in_wei,contract_address,mint_time,logo,status,vesting_address,factory_contract
Tingles,TING,4,10000000,100000000000,0xd1B183f425F7E6A0C83aB1cd84cFDE2d84Ba049d,2019-07-10 23:50:13 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xd1b183f425f7e6a0c83ab1cd84cfde2d84ba049d/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Worthy,WORTH,4,10000000,100000000000,0xb94d7eb7b3E993C59E6084623b5debe09aD45611,2019-07-18 16:23:20 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xb94d7eb7b3e993c59e6084623b5debe09ad45611/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Alohas,ALOHA,4,10000000,100000000000,0x791FDF274326eb7d8A5e1e939A01107fe7E9569d,2019-07-25 17:47:15 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x791fdf274326eb7d8a5e1e939a01107fe7e9569d/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Crunchies,CRNCH,4,10000000,100000000000,0xB4cad6Ff942C781455caC4E6bE1C3A0b7b854315,2019-07-25 13:16:51 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xb4cad6ff942c781455cac4e6be1c3a0b7b854315/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Bread,BREAD,4,10000000,100000000000,0x0ca87a543133AD7330B90197F2bB81e3Bd39eD0C,2019-07-28 21:14:42 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x0ca87a543133ad7330b90197f2bb81e3bd39ed0c/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Hue,HUE,4,10000000,100000000000,0xDcfE18bc46f5A0Cd0d3Af0c2155d2bCB5AdE2fc5,2019-08-29 14:47:50 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xdcfe18bc46f5a0cd0d3af0c2155d2bcb5ade2fc5/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Ultra,ULTRA,4,10000000,100000000000,0x903398a24a19E34281fa0716c87115893F18175a,2019-08-29 21:31:05 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x903398a24a19e34281fa0716c87115893f18175a/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Doom,DOOM,4,10000000,100000000000,0xA4F9CEC920cA520a7FEB2c3A63050e08967bc111,2019-09-12 16:56:26 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xa4f9cec920ca520a7feb2c3a63050e08967bc111/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Gou,GOU,4,10000000,100000000000,0xB19977B23b40D59254B8f5A0BdB67076B4FA0bC6,2019-09-06 23:47:13 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xb19977b23b40d59254b8f5a0bdb67076b4fa0bc6/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Moose,MM,4,10000000,100000000000,0xcf0425a35f1FA900bb347Cb996D3094D1dF3Cd48,2019-09-19 22:01:17 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xcf0425a35f1fa900bb347cb996d3094d1df3cd48/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Howl,HOWL,4,10000000,100000000000,0xD1dC64B4bDaab103A72BF4778A33740704AFf380,2019-09-20 20:13:43 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xd1dc64b4bdaab103a72bf4778a33740704aff380/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Xhuman,XHUMAN,4,10000000,100000000000,0x40aEea2e6c280E41cb88eC05673ba6C027C9c30c,2019-09-23 19:44:52 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x40aeea2e6c280e41cb88ec05673ba6c027c9c30c/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Skull,SKULL,4,10000000,100000000000,0xBcc66ed2aB491e9aE7Bf8386541Fb17421Fa9d35,2019-09-25 19:33:00 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xbcc66ed2ab491e9ae7bf8386541fb17421fa9d35/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
WGM,WGM,4,10000000,100000000000,0x219803d17f3067eb53d521ba8948d2734f402f7d,2019-10-03 18:59:53 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x219803d17f3067eb53d521ba8948d2734f402f7d/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Jiho,JIHO,4,10000000,100000000000,0xCeb40CecF67280E5e6918F3Af5139e7f823A5d5F,2019-10-13 23:02:31 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xceb40cecf67280e5e6918f3af5139e7f823a5d5f/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Bertbit,BERT,4,10000000,100000000000,0x6e9DE2e85A8C1188995FeCea289b3F22E489bB12,2019-10-15 12:55:57 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x6e9de2e85a8c1188995fecea289b3f22e489bb12/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Meeps,MEEPS,4,10000000,100000000000,0xE0d0Ee58499F25fE790da2AbAc44C32B0a1D589E,2019-10-14 20:27:01 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xe0d0ee58499f25fe790da2abac44c32b0a1d589e/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
gasm,GASM,4,10000000,100000000000,0xdE9387df6A36D99696b10056d18174886eDcC797,2019-10-15 17:12:46 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xde9387df6a36d99696b10056d18174886edcc797/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Jivinci,JIV,4,10000000,100000000000,0xAA1A039450123f8d55eDEa10E48bc8D44c87edDe,2019-10-16 02:23:02 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xaa1a039450123f8d55edea10e48bc8d44c87edde/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Pet3rpan,PETER,4,10000000,100000000000,0x1Bf7F59590048E9e1825CA177b2aBc587383dE0f,2019-10-26 14:23:38 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x1bf7f59590048e9e1825ca177b2abc587383de0f/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
BloodyPercent,BPC,4,10000000,100000000000,0xF21D65979bD89b28f05EF19F3c65dd2A1D02946D,2019-10-20 19:27:09 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xf21d65979bd89b28f05ef19f3c65dd2a1d02946d/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Yumi,YUMI,4,10000000,100000000000,0x25859743ED0861665611B81E47682e889b48313B,2019-11-04 00:39:46 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x25859743ed0861665611b81e47682e889b48313b/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
RODZ,RODZ,4,10000000,100000000000,0xA685D6f87E3bE27D72Ce216842147c4149e0Ce9a,2019-11-05 17:34:06 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xa685d6f87e3be27d72ce216842147c4149e0ce9a/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Kangdom,KANGG,4,10000000,100000000000,0x785AfB6062004F52A1d6A4323860e56803bc14D0,2019-11-05 20:24:27 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x785afb6062004f52a1d6a4323860e56803bc14d0/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Bard,BARD,4,10000000,100000000000,0xe05C99fd798C09C066B87d841eCF89Dac4B4856E,2019-11-06 22:20:26 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xe05c99fd798c09c066b87d841ecf89dac4b4856e/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
RADAR,RDR,4,10000000,100000000000,0x3C9Ca73d5309d38c6F2C21b78b9aE1f4b2441188,2019-11-06 19:26:31 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x3c9ca73d5309d38c6f2c21b78b9ae1f4b2441188/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
SPONT,SPONT,4,10000000,100000000000,0x3a4282b8fFBae5De5AB6E29bAd3d08d83902Ebd2,2019-11-07 18:27:21 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x3a4282b8ffbae5de5ab6e29bad3d08d83902ebd2/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Forcer,FORCER,4,10000000,100000000000,0xC1fB6C015fC535aBD331D3029De76a62e412Fb23,2019-11-12 00:05:28 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xc1fb6c015fc535abd331d3029de76a62e412fb23/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
ASTRO,ASR,4,10000000,100000000000,0x91499862FE157531e8Ed62a6fFfaAf6259B26aBB,2019-11-15 17:14:54 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x91499862fe157531e8ed62a6fffaaf6259b26abb/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Demintiger,DEMIN,4,10000000,100000000000,0x90cCc1097A9646E8B12B51C52B4Fd298f014cD0C,2019-11-15 16:49:51 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x90ccc1097a9646e8b12b51c52b4fd298f014cd0c/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
PYGOZ,PYGOZ,4,10000000,100000000000,0xbB98Fc1fD1080D2B8bdaD75c51D30B50c6F59b62,2019-11-16 02:20:29 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xbb98fc1fd1080d2b8bdad75c51d30b50c6f59b62/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Gcash,GCASH,4,10000000,100000000000,0xc53f6C2Ac35D30cc47Ddf3C320874b21dFA38791,2019-11-16 04:18:34 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xc53f6c2ac35d30cc47ddf3c320874b21dfa38791/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Buds,BUDS,4,10000000,100000000000,0xe3BDc497D8d96BC755Ff80d2942775F797Af0226,2019-11-17 04:54:49 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xe3bdc497d8d96bc755ff80d2942775f797af0226/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Wurst,WURST,4,10000000,100000000000,0x26fE5f779AeE2c6E2099610d470679c6bAC0FFfA,2019-11-20 17:27:26 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x26fe5f779aee2c6e2099610d470679c6bac0fffa/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
GATS,GATS,4,10000000,100000000000,0x4bA93f83b131C2450D5bC1982E3F2a1751Aa8E41,2019-11-21 04:31:41 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x4ba93f83b131c2450d5bc1982e3f2a1751aa8e41/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
BUZZ,BUZZ,4,10000000,100000000000,0x00D270d9A41886A8E6E433911AE2F7D257b60051,2019-11-21 03:42:52 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x00d270d9a41886a8e6e433911ae2f7d257b60051/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
NEETBucks,NEET,4,10000000,100000000000,0x81C31e61F9FFDB5e0aBED8837fDe875135e8a0Ae,2019-11-21 20:39:33 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x81c31e61f9ffdb5e0abed8837fde875135e8a0ae/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
SHG,SHG,4,10000000,100000000000,0x3B3dBF25b282e6682f9630D36Af226AD78fbD93f,2019-11-21 21:06:27 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x3b3dbf25b282e6682f9630d36af226ad78fbd93f/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Anarchy,NRKY,4,10000000,100000000000,0x5D1252cCFb46313A7bbF2FB4872899Aef3e22672,2019-11-21 21:22:51 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x5d1252ccfb46313a7bbf2fb4872899aef3e22672/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
LOU Gold,LOU,4,10000000,100000000000,0xB3F8e8D5cf9B47d245771c7b5141b0D1Ed5D5dc4,2019-11-21 22:08:11 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xb3f8e8d5cf9b47d245771c7b5141b0d1ed5d5dc4/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
SCB,SCB,4,10000000,100000000000,0x8AAA0D43cc86ed98b7aA9c8e1f87A319Cd873DC4,2019-11-25 18:13:56 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x8aaa0d43cc86ed98b7aa9c8e1f87a319cd873dc4/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
NERD,NERD,4,10000000,100000000000,0x76205B5F5D579e13cE33d1242667F12010209A45,2019-11-22 18:37:00 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x76205b5f5d579e13ce33d1242667f12010209a45/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
ShamblesBucks,SHAMBL,4,10000000,100000000000,0xf13C39926585DdbB02C439C3cd119a1C1d894EBC,2019-11-24 04:55:54 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xf13c39926585ddbb02c439c3cd119a1c1d894ebc/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
HUEHUEHUEBR,HUEBR,4,10000000,100000000000,0xFA8e3582D22667177e3e697750DC8cC8640CA0F4,2019-12-03 21:59:38 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xfa8e3582d22667177e3e697750dc8cc8640ca0f4/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
ExtraCurio,CURIO,4,10000000,100000000000,0x4b46636aFCb2BC4DD20C3D0424c4E1e6D296Fabe,2019-12-03 23:00:46 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x4b46636afcb2bc4dd20c3d0424c4e1e6d296fabe/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
AlexMasmej,ALEX,4,10000000,100000000000,0x8BA6DcC667d3FF64C1A2123cE72FF5F0199E5315,2019-12-04 17:12:18 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x8ba6dcc667d3ff64c1a2123ce72ff5f0199e5315/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
SUS,SUS,4,10000000,100000000000,0xC31296B3e84fF18893a14cE1b6D7E683d6608Eb5,2019-12-06 04:57:12 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xc31296b3e84ff18893a14ce1b6d7e683d6608eb5/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
KERN,KERN,4,10000000,100000000000,0x43B9a9D6a7C1E42b16Ac66a984c16cA78ce77cc7,2019-12-08 20:59:11 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x43b9a9d6a7c1e42b16ac66a984c16ca78ce77cc7/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Weebs,WEEBS,4,10000000,100000000000,0x1074608E45b42eB25D1E97382E8a1d151987EAbA,2019-12-06 21:23:02 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x1074608e45b42eb25d1e97382e8a1d151987eaba/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
YGG,YGG,4,10000000,100000000000,0xC254664c7408Dde413969fBcD593328F6099E32f,2019-12-07 01:20:09 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xc254664c7408dde413969fbcd593328f6099e32f/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
JDSNAP,JDSNAP,4,10000000,100000000000,0xEec1E4F17057969D009e0EF8406aEE27D98e4a52,2019-12-07 00:59:03 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xeec1e4f17057969d009e0ef8406aee27d98e4a52/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
HiveMind,HIVED,4,10000000,100000000000,0x24eBA89651aa88810924D4669256Bb56832902fe,2019-12-07 00:45:25 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x24eba89651aa88810924d4669256bb56832902fe/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
OHFF,OHFF,4,10000000,100000000000,0xf0AaBeAcbC2D91BAf21bDA0006C9D65DE736053a,2020-01-08 19:06:45 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xf0aabeacbc2d91baf21bda0006c9d65de736053a/logo.png,proposed/rejected,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
C3T,C3T,4,10000000,100000000000,0x1278FdA914F46c92CcFe2fa7578eb8940a8ceA88,2019-12-07 01:35:15 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x1278fda914f46c92ccfe2fa7578eb8940a8cea88/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Dude,DUDE,4,10000000,100000000000,0xE98b5F11897d42Afd17185dd301Bcb2d46389bF1,2019-12-10 01:48:30 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xe98b5f11897d42afd17185dd301bcb2d46389bf1/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Julien,JULIEN,4,10000000,100000000000,0xe6710e0CdA178f3D921f456902707B0d4C4A332B,2019-12-11 20:40:09 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xe6710e0cda178f3d921f456902707b0d4c4a332b/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Calvin,CALVIN,4,10000000,100000000000,0xdc8092AaF83e00Ebf9B01A2e90b7B7eF867ba503,2019-12-11 05:07:41 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xdc8092aaf83e00ebf9b01a2e90b7b7ef867ba503/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Mork,MORK,4,10000000,100000000000,0xf552b656022c218C26dAd43ad88881Fc04116F76,2019-12-12 15:04:21 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xf552b656022c218c26dad43ad88881fc04116f76/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
NiMA,NIMA,4,10000000,100000000000,0x8F564dc862FfE7EC0436C3717EC7ED06150144E2,2019-12-11 22:00:57 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x8f564dc862ffe7ec0436c3717ec7ed06150144e2/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Trent,TRENT,4,10000000,100000000000,0x4fe704E0a9a69389bD1a6351a5242B45d9867830,2019-12-12 18:07:16 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x4fe704e0a9a69389bd1a6351a5242b45d9867830/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
CHRIS,CHRIS,4,10000000,100000000000,0x3E9CD39b064b321Db0a1E344228F44c35e672f96,2019-12-13 18:16:56 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x3e9cd39b064b321db0a1e344228f44c35e672f96/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
